"Category";"Combustione -Energia e industria di trasformazione";"Combustione - Non industriale";"Combustione - Industria";"Processi Produttivi";"Estrazione,distribuzione combustibili fossili / geotermico";"Uso di solventi";"Trasporti Stradali";"Altre Sorgenti Mobili";"Trattamento e Smaltimento Rifiuti";"Agricoltura";"Altro"
"1990";44,84;67,75;27,57;70,01;0,71;5,93;59,89;31,57;4,83;32,52;6,64
"1991";44,18;77,14;26,77;151,86;0,65;6,11;59,57;31,66;5,35;32,57;6,76
"1992";43,52;70,11;26,1;66,12;0,58;5,9;60;31,28;5,16;32,27;6,48
"1993";43,57;69,62;25,76;58,26;0,49;5,79;61,73;32,27;5,15;32,31;6,29
"1994";43,28;68,83;25,29;61,53;0,53;5,91;59,15;31,74;5,1;32,65;6,44
"1995";39,6;71,24;25,09;70,34;0,56;6,09;58,91;32,06;5,1;33,24;6,64
"1996";32,97;68,87;22,45;64,58;0,52;5,8;58,15;33,36;5,05;33,49;6,32
"1997";28,07;73,17;21,04;56,82;0,51;6,05;56,82;32,91;5,07;33,59;6,56
"1998";25,59;72,53;20,95;63,47;0,54;6,07;57,72;34,09;5,12;33,91;6,61
"1999";21,35;75,67;20,31;61,95;0,54;6,43;57,16;32,13;5,27;33,58;6,97
"2000";18,42;68,56;18,61;63,54;0,57;6,59;53,37;30,76;5,03;32,02;7,16
"2001";16,31;64,51;17,88;62,48;0,61;6,81;53,58;29,63;4,97;33,05;7,42
"2002";12,91;39,59;17,38;129,65;0,63;6,91;52,75;28,21;5,02;32,15;7,54
"2003";8,96;62,5;17,97;60,96;0,67;6,72;50,72;28,36;4,92;31,2;7,39
"2004";8,41;40,43;18,68;76,1;0,77;7,19;50,03;26,99;5,31;31,2;7,96
"2005";5,87;68,55;17,86;72,45;0,76;7,13;48,36;25,29;5,11;28,93;7,9
"2006";5,57;80,63;17,76;58,5;0,78;7,01;45,74;22,45;4,56;26,99;7,79
"2007";4,3;111,27;16,74;91,65;0,79;6,99;44,19;20,18;4,48;26,24;7,78
"2008";3,66;131,73;15,87;63,29;0,78;6,85;40,69;17,87;4,58;25,09;7,64
"2009";2,79;126,7;11,25;59,12;0,63;6,4;37,65;17,24;4,33;22,85;7,03
"2010";2,83;123,12;12,42;76,86;0,69;6,55;35,63;16,81;4,28;21,45;7,24
"2011";1,76;79,6;12,09;86,07;0,77;6,24;34,01;15,12;4,76;21,15;7,01
"2012";1,96;114,29;9,39;42,98;0,79;5,64;31,17;12,73;4,76;20,83;6,44
"2013";1,48;114,46;7,34;42,01;0,66;5,27;28,8;11,83;4,74;21,74;5,93
"2014";1,26;98,75;6,92;35,44;0,63;5,27;29,46;11,46;4,57;21,62;5,9
"2015";1,16;106,82;7,71;45,31;0,61;5,33;27,27;10,43;4,73;21,55;5,94
"2016";0,98;103,43;7,73;36,42;0,54;4,82;24,62;10,71;5,09;22,04;5,36
"2017";0,95;113,02;7,7;39,92;0,48;4,7;22,41;9,88;5,37;21,91;5,18
"2018";0,79;95,16;7,91;60,82;0,44;4,6;21,81;10,3;5,21;21,72;5,04
"2019";0,71;94,03;7,34;38,47;0,33;6,18;21,37;10,64;5,41;21,69;6,5
"2020";0,57;89,91;6,71;41,11;0,24;6,19;16,83;10,8;5,44;21,75;6,43
"2021";0,59;101,47;7,58;40,6;0,26;6,5;19,73;8,12;5,74;21,61;6,76
"2022";0,66;93,22;7,85;41,15;0,36;5,93;20,61;9,29;5,66;20,96;6,29
