"Category";"Combustione -Energia e industria di trasformazione";"Combustione - Non industriale";"Combustione - Industria";"Processi Produttivi";"Estrazione,distribuzione combustibili fossili / geotermico";"Uso di solventi";"Trasporti Stradali";"Altre Sorgenti Mobili";"Trattamento e Smaltimento Rifiuti";"Agricoltura"
"1990";30,1;66,9;19,9;18,2;0,1;4,7;53,7;31,5;4,7;6,1
"1991";30;76,3;19,4;25,9;0,1;4,8;53,3;31,6;5,2;6,2
"1992";30,6;69,3;18,8;17,4;0,1;4,7;53,3;31,2;5;6
"1993";31;68,9;18,7;16;0;4,6;54,9;32,2;5;5,9
"1994";30,8;68,1;18,5;16,1;0,1;4,7;52,3;31,7;5;6
"1995";27,8;70,5;18,3;17,7;0,1;4,8;51,9;32;5;6
"1996";22,6;68,2;16,5;15,7;0,1;4,6;51,1;33,3;4,9;6,1
"1997";20;72,4;15,2;14,2;0,1;4,8;49,6;32,9;4,9;6
"1998";18;71,7;15,2;14,8;0,1;4,8;50,2;34;5;6,2
"1999";14,7;74,8;15,1;14,6;0,1;5;49,5;32,1;5,1;6,2
"2000";12,7;67,9;14;15,2;0,1;5,1;45,8;30,7;4,9;5,9
"2001";11;63,9;13,6;15;0,1;5,3;45,7;29,6;4,9;5,9
"2002";8,5;39,2;13,2;21,4;0,1;5,4;44,7;28,2;4,9;5,8
"2003";5,9;61,8;13,6;14,9;0,1;5,2;42,6;28,3;4,8;5,6
"2004";5,4;40;14;16,7;0,1;5,5;41,8;27;5,2;5,7
"2005";3,7;67,8;13,6;16,6;0,1;5,4;40,1;25,2;5;5,2
"2006";3,5;79,8;13,7;15,5;0,1;5,3;37,3;22,4;4,4;4,9
"2007";2,7;110,1;13,1;18,8;0,1;5,3;35,8;20,1;4,4;4,7
"2008";2,3;130,3;12,4;15,5;0,1;5,2;32,6;17,8;4,5;4,6
"2009";1,8;125,3;8,8;12,6;0,1;4,9;29,8;17,2;4,2;4,1
"2010";1,8;121,8;9,8;15,4;0,1;5;27,9;16,8;4,2;3,8
"2011";1,1;78,7;9,5;16,5;0,1;4,8;26,3;15,1;4,7;3,7
"2012";1,3;113;7,5;11,4;0,1;4,3;23,9;12,7;4,7;3,8
"2013";1;113,2;5,9;10,3;0,1;4,1;21,7;11,8;4,7;3,8
"2014";0,8;97,6;5,6;9,4;0,1;4,1;21,5;11,4;4,5;3,8
"2015";0,8;105,6;6,3;10;0,1;4,1;19,6;10,4;4,7;3,8
"2016";0,7;102,2;6,3;8,5;0,1;3,8;17,5;10,7;5;4
"2017";0,6;111,7;6,3;9;0;3,7;15,8;9,8;5,3;3,9
"2018";0,6;93,9;6,5;11,1;0;3,6;15;10,3;5,1;3,8
"2019";0,5;92,8;6,1;8,7;0;4,6;14,5;10,6;5,3;3,8
"2020";0,4;88,8;5,6;8,4;0;4,6;11,2;10,8;5,4;3,8
"2021";0,4;100,2;6,4;9,1;0;4,8;12,9;8,1;5,7;3,8
"2022";0,5;92;6,5;8,8;0;4,4;13,4;9,3;5,6;3,6
